Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,13,Furlan Eleonora,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,14,Wolosz Joanna,-,C,-,4,6,3,-,-,5,3,4,20,1,2,-,-,-,-,2 ,-,-,1,0.50 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,20,Coba Angela 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,C,Prosecco Doc Imoco Conegliano,Conegliano,22,Bardaro Anna 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,1,Bovo Laura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,4,Butigan Bozana,-,-,-,2,5,5,-,-,5,3,3,6,2,-,1,-,1 ,1.00 ,10 ,-,-,3,0.30 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,5,Partenio Laura,-,-,-,*,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,6,Cecchetto Giada,L,-,-,*,*,*,-,-,-,-,-3,-,-,-,14,3,0 ,0.36 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,7,Da Silva Lorrayna Marys,-,-,-,3,6,6,-,-,5,-,-1,7,-,-,1,-,-,-,21 ,2 ,4,5,0.24 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,10,Cicola Luna,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,11,Turlà Sofia,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,13,May Mackenzie,-,-,-,4,1,-,-,-,4,2,-2,1,1,-,16,3,1 ,0.31 ,11 ,-,2,4,0.36 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,14,Frosini Giorgia,-,-,-,*,-,*,-,-,2,1,-,1,1,-,-,-,-,-,3 ,1 ,-,1,0.33 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,16,Lanier Khalia,-,-,-,1,4,4,-,-,10,5,4,14,1,2,19,3,0 ,0.16 ,18 ,1 ,1,8,0.44 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,18,Cagnin Emma,-,-,-,-,*,1,-,-,3,1,-1,9,2,-,7,1,0 ,0.14 ,8 ,-,1,3,0.38 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,22,Stufi Federica,-,C,-,5,2,2,-,-,1,-,-,7,-,-,-,-,-,-,5 ,-,1,1,0.20 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3001,23/10/2022 ,19:30,3613 ,-,O,Volley Bergamo 1991,Bergamo,23,Gennari Giulia,-,-,-,6,3,3,-,-,2,-,-,9,1,-,-,-,-,-,3 ,1 ,-,2,0.67 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,2,Cantoni Martina 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,3,Adams Mckenzie Elise,-,-,-,4,4,4,-,-,16,10,10,7,2,-,16,1,1 ,0.38 ,27 ,3 ,-,14,0.52 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,5,Bresciani Giulia,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,6,Giovannini Gaia,-,-,-,*,-,-,-,-,1,1,-1,1,1,-,2,1,1 ,-,1 ,-,-,1,1.00 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,7,Battistoni Ilaria,-,-,-,6,6,6,-,-,1,1,-1,12,2,1,-,-,-,-,2 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,8,Fersino Eleonora,L,-,-,*,*,*,-,-,-,-,-1,-,-,-,13,1,1 ,0.54 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,9,Bosetti Caterina,-,-,-,1,1,1,-,-,10,5,7,19,1,4,11,1,1 ,0.36 ,11 ,-,1,5,0.45 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,10,Chirichella Cristina,-,C,-,5,5,5,-,-,6,4,4,4,1,-,-,-,-,-,9 ,-,1,4,0.44 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,11,Danesi Anna,-,-,-,2,2,-,-,-,5,5,4,6,-,1,-,-,-,-,5 ,1 ,-,2,0.40 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,12,Varela Gomez Lucia,-,-,-,*,-,*,-,-,-,-,-1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,13,Bonifacio Sara,-,-,-,-,-,2,-,-,4,-,3,2,1,-,-,-,-,-,4 ,-,-,4,1.00 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,14,Carcaces Kenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,15,Ituma Julia,-,-,-,*,-,*,-,-,2,1,1,3,-,-,-,-,-,-,3 ,-,1,2,0.67 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,C,Igor Gorgonzola Novara,Novara,99,Karakurt Ebrar,-,-,-,3,3,3,-,-,18,9,12,18,1,5,-,-,-,-,26 ,4 ,1,12,0.46 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,1,Cosi Francesca,-,-,-,2,2,5,-,-,4,3,2,5,-,-,-,-,-,-,8 ,1 ,1,1,0.13 ,-,3 ,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,3,Fiori Silvia,L,-,-,*,*,*,-,-,-,-,-5,-,-,-,24,5,0 ,0.33 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,4,Abbott Symone,-,-,-,1,1,4,-,-,4,2,-7,7,1,-,24,7,0 ,0.33 ,20 ,1 ,2,4,0.20 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,5,Napodano Francesca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,8,Ricci Maria Irene,-,-,-,6,6,3,-,-,-,-,-1,4,1,-,-,-,-,-,2 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,9,Quarchioni Giorgia,-,-,-,-,*,-,-,-,-,-,-1,-,-,-,4,1,0 ,-,1 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,11,Okenwa Akuabata Felisa,-,-,-,*,*,*,-,-,5,3,3,8,1,2,-,-,-,-,5 ,1 ,-,2,0.40 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,12,Molinaro Beatrice,-,-,-,5,5,2,-,-,5,2,2,10,2,1,-,-,-,-,5 ,-,1,4,0.80 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,13,Milanova Nikol,-,-,-,*,-,*,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,14,Fiesoli Alessia,-,C,-,4,4,1,-,-,3,-,-3,9,-,-,12,3,0 ,0.33 ,13 ,1 ,2,3,0.23 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,15,Malik Polina,-,-,-,3,3,6,-,-,7,-,1,3,1,-,-,-,-,-,21 ,3 ,2,7,0.33 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3002,23/10/2022 ,17:00,2600 ,-,O,Cbf Balducci Hr Macerata,Macerata,18,Poli Aurora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,1,Negri Marta,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,2,Martin Pauline,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,3,Stysiak Magdalena,-,-,-,2,3,*,-,-,4,2,-1,11,3,2,10,1,1 ,0.50 ,4 ,1 ,-,2,0.50 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,7,Folie Raphaela,-,-,-,3,4,5,4,-,11,7,7,12,3,-,1,-,1 ,-,12 ,1 ,-,8,0.67 ,-,3 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,8,Orro Alessia,-,C,-,1,2,3,2,-,4,3,1,16,2,-,-,-,-,-,3 ,1 ,-,1,0.33 ,-,3 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,9,Camera Letizia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,11,Begic Edina,-,-,-,-,*,*,*,-,-,-,-,-,-,-,4,-,1 ,0.75 ,2 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,12,Thompson Jordan,-,-,-,4,5,6,5,-,22,5,13,17,1,1,-,-,-,-,42 ,4 ,4,19,0.45 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,14,Rettke Dana,-,-,-,6,1,2,1,-,14,8,11,12,2,2,-,-,-,-,15 ,-,1,8,0.53 ,-,4 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,15,Stevanovic Jovana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,16,Negretti Beatrice,L,-,-,*,*,*,*,-,-,-,-2,-,-,-,20,2,1 ,0.50 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,17,Sylla Myriam,-,-,-,-,*,1,6,-,9,3,7,12,-,-,21,1,1 ,0.38 ,15 ,-,1,8,0.53 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,18,Davyskiba Anna,-,-,-,5,6,4,3,-,18,9,8,14,5,1,11,-,1 ,0.36 ,29 ,3 ,2,14,0.48 ,-,3 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,C,Vero Volley Milano,Milano,28,Candi Sonia,-,-,-,-,*,*,*,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,2,Grajber Martyna,-,-,-,1,1,1,1,-,10,2,4,11,-,-,20,2,1 ,0.60 ,26 ,-,4,7,0.27 ,-,3 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,3,Trnkova Veronika,-,-,-,2,2,2,2,-,7,3,1,15,5,1,-,-,-,-,10 ,1 ,-,4,0.40 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,5,Carletti Federica,-,-,-,*,*,*,3,-,6,2,4,5,-,-,8,-,1 ,0.50 ,17 ,-,2,5,0.29 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,6,Gueli Michelle,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,7,Renieri Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,8,Bussoli Silvia,-,-,-,*,-,*,*,-,-,-,-1,-,-,-,4,1,1 ,0.50 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,10,Moro Ilenia,L,-,-,*,*,*,*,-,-,-,-5,-,-,-,25,4,1 ,0.36 ,1 ,1 ,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,11,Prandi Vittoria,-,-,-,6,6,6,6,-,1,1,-1,10,1,1,-,-,-,-,2 ,-,1,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,13,Zago Valentina,-,C,-,3,3,3,*,-,5,-,-3,9,2,-,-,-,-,-,19 ,4 ,2,5,0.26 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,14,Bortoli Laura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,17,Gray Anna,-,-,-,-,*,*,*,-,1,-,1,3,-,-,-,-,-,-,1 ,-,-,1,1.00 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,18,Akrari Yasmina,-,-,-,5,5,5,5,-,10,2,7,10,-,-,1,-,1 ,1.00 ,15 ,-,3,8,0.53 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3003,22/10/2022 ,20:30,2875 ,-,O,Wash4green Pinerolo,Pinerolo,19,Ungureanu Adelina,-,-,-,4,4,4,4,-,6,2,-7,13,1,-,26,6,0 ,0.23 ,29 ,2 ,4,6,0.21 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,1,Cazaute Helena,-,-,-,6,1,1,-,-,10,5,7,8,1,-,8,2,1 ,0.25 ,13 ,-,-,9,0.69 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,2,Morello Rachele,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,3,Rozanski Olivia,-,-,-,-,-,-,-,-,2,1,2,-,-,-,-,-,-,-,3 ,-,-,2,0.67 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,4,Bosio Francesca,-,-,-,5,6,6,-,-,3,2,1,14,2,-,-,-,-,-,3 ,-,-,3,1.00 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,5,Spirito Ilaria,L,-,-,*,*,*,-,-,-,-,-1,-,-,-,7,1,1 ,0.29 ,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,6,Fini Alessia,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,7,Nervini Stella,-,-,-,*,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,8,Grobelna Kaja,-,C,-,2,3,3,-,-,15,9,12,19,1,1,-,-,-,-,24 ,1 ,1,12,0.50 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,9,Villani Francesca,-,-,-,3,4,4,-,-,7,3,-1,8,2,-,22,5,0 ,0.14 ,16 ,-,-,6,0.38 ,-,1 ,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,10,Butler Brionne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,11,Storck Maja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,12,Mazzaro Alessia,-,-,-,1,2,2,-,-,8,6,5,12,1,-,-,-,-,-,11 ,1 ,1,6,0.55 ,-,2 ,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,16,Garreau Djé Marie-France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,C,Reale Mutua Fenera Chieri,Chieri,17,Weitzel Camilla,-,-,-,4,5,5,-,-,11,7,10,12,1,-,-,-,-,-,10 ,-,-,8,0.80 ,-,3 ,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,O,Trasportipesanti Casalmaggiore,Casalmaggiore,2,Scola Francesca,-,-,-,6,6,6,-,-,1,1,1,9,-,1,-,-,-,-,2 ,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,O,Trasportipesanti Casalmaggiore,Casalmaggiore,3,Perinelli Elena,-,-,-,4,4,4,-,-,6,2,-3,5,1,-,22,1,1 ,0.41 ,25 ,4 ,3,6,0.24 ,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,O,Trasportipesanti Casalmaggiore,Casalmaggiore,4,Piva Rebecca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2022/2023,A1,Regular_Season,1st,1,-,3004,23/10/2022 ,17:00,1046 ,-,O,Trasportipesanti Casalmaggiore,Casalmaggiore,7,Lohuis Juliet,-,-,-,5,5,5,-,-,6,2,4,6,1,1,-,-,-,-,12 ,-,1,3,0.25 ,-,2 ,,
