Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,17,Smarzek Malwina,-,-,-,3,3,3,3,3,22,8,13,15,1,1,-,-,-,-,44 ,2 ,6,20,45%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,18,Cagnin Emma,-,-,-,*,*,1,1,1,10,4,6,20,2,2,21,1,1 ,43%,15 ,-,1,7,47%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,21,Acosta Alvarado Roslandy,-,-,-,1,1,4,4,4,15,8,-,15,1,-,32,6,0 ,19%,32 ,4 ,4,14,44%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,C,Trasportipesanti Casalmaggiore,Casalmaggiore,33,De Bortoli Chiara,L,-,-,*,*,*,*,*,-,-,-2,-,-,-,24,2,1 ,63%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,1,Bovo Laura,-,-,-,2,2,1,1,5,7,1,6,14,-,-,-,-,-,-,6 ,1 ,-,5,83%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,2,Fitzmorris Audriana,-,-,-,-,-,-,*,-,3,3,-,4,1,3,-,-,-,-,2 ,-,2,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,3,Rozanski Olivia,-,-,-,1,1,6,6,4,17,6,11,10,1,-,39,1,1 ,23%,30 ,1 ,3,15,50%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,4,Butigan Bozana,-,-,-,5,5,4,4,2,8,3,3,13,-,-,1,-,1 ,-,14 ,4 ,1,6,43%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,5,Scialanca Rebecca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,6,Cecchetto Giada,L,-,-,*,*,*,*,*,-,-,-2,-,-,-,14,2,1 ,50%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,7,Da Silva Lorrayna Marys,-,-,-,3,3,2,2,6,29,8,15,23,3,3,-,-,-,-,52 ,8 ,3,25,48%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,9,Pasquino Laura,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,10,Cicola Luna,-,-,-,*,*,*,-,*,-,-,-1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,11,Nervini Stella,-,-,-,*,-,*,*,-,2,-,-1,4,-,-,8,3,1 ,25%,4 ,-,-,2,50%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,13,Pistolesi Aurora,-,-,-,*,*,*,*,1,-,-,-,6,-,-,11,-,1 ,64%,5 ,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,18,Davyskiba Anna,-,-,-,4,4,3,3,-,9,6,-1,5,-,-,28,6,1 ,25%,22 ,2 ,2,8,36%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,23,Gennari Giulia,-,C,-,6,6,5,5,3,10,4,9,14,1,1,-,-,-,-,3 ,-,-,3,100%,-,6 ,,
2023/2024,A1,Regular_Season,1st,1,-,3005,7/10/2023 ,20:30,1.733 ,-,O,Volley Bergamo 1991,Volley Bergamo 1991,24,Belussi Claudia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,1,Piani Vittoria,-,-,-,-,*,5,-,-,4,2,2,2,-,1,-,-,-,-,10 ,2 ,-,3,30%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,2,Plummer Kathryn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,3,Robinson-Cook Kelsey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,4,Squarcini Federica,-,-,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,5,De Kruijf Robin,-,-,-,6,6,4,-,-,4,2,4,7,-,-,-,-,-,-,10 ,-,-,4,40%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,6,Gennari Alessia,-,-,-,5,5,3,-,-,11,8,5,9,1,1,22,4,0 ,9%,17 ,-,1,8,47%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,9,Lubian Marina,-,-,-,*,-,*,-,-,-,-,-1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,10,De Gennaro Monica,L,-,-,*,*,*,-,-,-,-,-,-,-,-,8,-,1 ,63%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,11,Haak Isabelle,-,-,-,4,4,*,-,-,19,9,15,9,3,-,-,-,-,-,24 ,-,1,17,71%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,12,Bugg Madison,-,-,-,1,1,2,-,-,2,2,2,11,-,2,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,14,Wolosz Joanna,-,C,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,16,Lanier Khalia,-,-,-,2,2,6,-,-,8,4,-2,16,1,1,16,4,0 ,19%,21 ,2 ,3,7,33%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,19,Fahr Sarah,-,-,-,3,3,*,-,-,11,3,9,14,2,1,-,-,-,-,8 ,-,-,6,75%,-,4 ,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,C,Prosecco Doc Imoco Conegliano,Imoco Volley Conegliano,20,Bardaro Anna,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,1,Shcherban Yana,-,-,-,2,2,2,-,-,7,1,1,7,-,-,20,4,0 ,5%,24 ,1 ,1,7,29%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,3,Mason Chiara,-,-,-,-,*,*,-,-,-,-,-3,1,1,-,-,-,-,-,4 ,1 ,1,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,5,Michieletto Francesca,-,-,-,5,5,5,-,-,4,3,-4,8,1,1,18,2,1 ,28%,16 ,3 ,2,3,19%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,6,Guiducci Gaia,-,-,-,1,1,1,-,-,2,2,1,11,-,1,-,-,-,-,4 ,-,1,-,-,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,7,Olivotto Rossella,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,8,Marconato Giulia,-,-,-,*,*,*,-,-,-,-,-1,-,-,-,-,-,-,-,1 ,-,1,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,9,Stocco Martina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,10,Parlangeli Francesca,L,-,-,*,*,*,-,-,-,-,-5,-,-,-,26,5,0 ,15%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,11,Dehoog Carly,-,-,-,4,4,4,-,-,11,2,6,10,3,1,-,-,-,-,28 ,1 ,1,10,36%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,12,Angelina Giulia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,13,Zago Valentina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,16,Gates Madeleine,-,-,-,6,6,6,-,-,10,3,7,8,2,1,-,-,-,-,13 ,1 ,-,6,46%,-,3 ,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,18,Moretto Gaia,-,-,-,3,3,3,-,-,4,1,2,9,1,-,1,-,-,-,6 ,-,1,3,50%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3001,8/10/2023 ,17:00,4.030 ,-,O,Itas Trentino,Trentino Volley,19,Mistretta Alessandra,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,2,Alberti Sara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,3,Herbots Britt,-,-,-,3,2,3,-,-,6,4,-,12,3,-,14,3,1 ,21%,14 ,-,-,6,43%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,4,Zhu Ting,-,-,-,6,5,6,-,-,12,5,8,11,-,-,23,4,1 ,22%,18 ,-,-,9,50%,-,3 ,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,6,Ruddins Lindsey Ora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,7,Di Iulio Isabella,-,-,-,2,1,2,-,-,1,1,1,15,-,1,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,8,Merlo Enrica,-,C,-,*,*,*,-,-,-,-,-1,-,-,-,10,1,1 ,60%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,9,Villani Francesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,10,Ognjenovic Maja,-,-,-,*,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,14,Nwakalor Linda,-,-,-,1,6,1,-,-,8,6,7,9,-,1,-,-,-,-,4 ,-,1,3,75%,-,4 ,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,15,Washington Haleigh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,16,Da Silva Ana Carolina,-,-,-,4,3,4,-,-,10,4,7,14,2,-,-,-,-,-,10 ,1 ,-,7,70%,-,3 ,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,17,Antropova Ekaterina,-,-,-,5,4,5,-,-,15,6,8,9,4,2,1,-,-,-,24 ,3 ,-,11,46%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,18,Diop Binto,-,-,-,*,*,*,-,-,6,2,4,3,1,1,-,-,-,-,7 ,1 ,-,5,71%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,C,Savino Del Bene Scandicci,Savino Del Bene Scandicci,20,Gay Alice,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,1,Acciarri Nausica,-,-,-,*,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,3,Ribechi Manuela,-,-,-,*,*,*,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,4,Ishikawa Mayu,-,-,-,1,2,1,-,-,10,3,1,19,3,1,25,3,1 ,36%,19 ,2 ,1,9,47%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,6,Leonardi Giulia,-,C,-,*,*,*,-,-,-,-,-2,-,-,-,14,2,1 ,64%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,7,Battistoni Ilaria,-,-,-,6,1,6,-,-,1,1,-,7,1,1,-,-,-,-,1 ,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,8,Alsmeier Lina,-,-,-,4,5,4,-,-,9,3,1,8,2,1,19,2,1 ,32%,26 ,1 ,3,8,31%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,11,Lazic Alexandra,-,-,-,3,4,3,-,-,8,4,1,6,2,1,-,-,-,-,19 ,3 ,2,7,37%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,12,Mazzaro Alessia,-,-,-,-,-,2,-,-,1,1,-,5,-,1,2,-,1 ,50%,3 ,-,1,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,13,Graziani Emma,-,-,-,2,3,-,-,-,4,-,3,4,-,-,1,-,1 ,100%,7 ,-,1,4,57%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,19,Agrifoglio Beatrice,-,-,-,-,*,*,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,24,Kraiduba Anastasiia,-,-,-,-,*,*,-,-,2,-,2,-,-,-,-,-,-,-,3 ,-,-,2,67%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3002,8/10/2023 ,17:00,2.438 ,-,O,Il Bisonte Firenze,Azzurra Volley Firenze,26,Stivrins Lauren,-,-,-,5,6,5,-,-,5,1,-3,5,3,-,2,1,-,-,14 ,-,4,4,29%,-,1 ,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,1,Cazaute Helena,-,-,-,2,1,2,-,-,12,5,7,17,2,2,11,-,1 ,36%,21 ,-,3,10,48%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,3,Malual Adhuoljok John Majak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,5,Heyrman Laura,-,-,-,6,5,6,-,-,9,3,9,8,-,-,-,-,-,-,9 ,-,-,7,78%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,7,Folie Raphaela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,8,Orro Alessia,-,C,-,1,6,1,-,-,2,1,2,19,-,-,1,-,-,-,2 ,-,-,2,100%,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,10,Parrocchiale Beatrice,L,-,-,*,*,*,-,-,-,-,-2,-,-,-,9,2,1 ,56%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,11,Prandi Vittoria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,14,Rettke Dana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,15,Bajema Kara,-,-,-,5,4,5,-,-,7,6,2,9,1,2,16,3,1 ,44%,11 ,1 ,-,3,27%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,16,Piciocchi Veronica Arianna,L,-,-,-,-,*,-,-,-,-,-1,-,-,-,3,1,1 ,67%,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,17,Sylla Myriam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,18,Egonu Paola,-,-,-,4,3,4,-,-,19,14,15,7,2,1,-,-,-,-,27 ,1 ,1,16,59%,-,2 ,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,19,Daalderop Nika,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
2023/2024,A1,Regular_Season,1st,1,-,3003,8/10/2023 ,17:00,4.834 ,-,C,Allianz Vero Volley Milano,Vero Volley,28,Candi Sonia,-,-,-,3,2,3,-,-,13,8,12,14,-,1,-,-,-,-,10 ,1 ,-,8,80%,-,4 ,,
